TC1,TC2,TC3,TC4,TC5,TC6,TC7,TC8,TC9,TC10,TC11,TC12,TC13,TC14,TC15,TC16,TC17,TC18,TC19,TC20,TC21,TC22,TC23,TC24,TC25,TC26,TC27,TC28,TC29,TC30,TC31,TC32,TC33,TC34,TC35,TC36
1.312292501104437292e+02,1.301679752331406519e+02,1.231351913731867000e+02,1.329573516224139098e+02,1.256982393093095993e+02,1.342244291059518275e+02,1.489666632242246465e+02,1.566432311189458630e+02,1.494263708652583489e+02,1.574559394700829671e+02,1.435007520395328413e+02,1.463530261565323087e+02,2.030510183688797952e+02,1.997044481021958973e+02,2.103920140681419184e+02,2.130951376549414249e+02,2.100928011091216376e+02,2.063595848354052293e+02,3.576131976058654800e+02,3.461132661240142738e+02,3.530328095139406628e+02,3.609560686474233080e+02,3.568606688457684868e+02,3.532371491895160034e+02,6.106913121105944811e+02,6.234492311960880215e+02,6.175031002177685195e+02,6.110527772434328426e+02,6.307896736947698173e+02,6.234132855063517127e+02,3.521335892866154449e+00,4.273354510102515214e+00,4.309795493891321883e-01,-6.353568786127474777e-01,-9.737798558696258766e+00,-6.075528608001970809e+00
1.228928036643839761e+02,1.230076772274509125e+02,1.290245874674667164e+02,1.338398954394856730e+02,1.332028389828318211e+02,1.326909625642311994e+02,1.428219850369731034e+02,1.534142686135355689e+02,1.425665142594500310e+02,1.607420713663904053e+02,1.623537161635618418e+02,1.522001269535783479e+02,2.038177995105003788e+02,2.074774528244824978e+02,2.102589086233080309e+02,2.066706163281587294e+02,2.134567726571569892e+02,2.038067865055548964e+02,3.715267628277303515e+02,3.644114896748112074e+02,3.682008663025928854e+02,3.559313717205005787e+02,3.643378691896094779e+02,3.558994121823522505e+02,6.132880867480898814e+02,6.229734908485470442e+02,6.292665820003271619e+02,6.091872023232552920e+02,6.142548577337735196e+02,6.267645443194035124e+02,-6.137801617440965529e+00,1.431984635340125323e+00,2.672315830370262990e+00,-3.106516925937103935e+00,-7.543189056878476073e+00,-1.363068018409250293e-01
1.336783314853817615e+02,1.255899961048539240e+02,1.253335884133255007e+02,1.277746852349682740e+02,1.297005341058436443e+02,1.331623165962839437e+02,1.584345878085033519e+02,1.478982259386046962e+02,1.526896530857290202e+02,1.569564748277502702e+02,1.443986070968216779e+02,1.452006905051554213e+02,2.129494137448316735e+02,2.170809087482936945e+02,2.096028828477251977e+02,2.185952053899019063e+02,2.229069052310647976e+02,2.104088843967293485e+02,3.584058988239087284e+02,3.649177709710314161e+02,3.639045712999454736e+02,3.633224079838861371e+02,3.552367059019075555e+02,3.647673694243082423e+02,6.171085473603636729e+02,6.230727601379659291e+02,6.267478337348023842e+02,6.243533663729477894e+02,6.205567979300619754e+02,6.177845605505530102e+02,3.772656248639205678e+00,5.955468043099890529e+00,2.840195457693521774e-01,-3.361391857196038835e-01,-1.930515334950578143e+00,4.277349585550862088e+00
1.277167887592636504e+02,1.262009026259086255e+02,1.356563465418615237e+02,1.254498291045355813e+02,1.275280398764643337e+02,1.244088240556438478e+02,1.441208249925591929e+02,1.534357243786519120e+02,1.533084745334057857e+02,1.345174048952971759e+02,1.474988485547795278e+02,1.521143015644199181e+02,2.105867683522870664e+02,2.105179663854408716e+02,2.117882849813559005e+02,2.059636814081250691e+02,2.147671901654436226e+02,2.080747180607259850e+02,3.594005556205800644e+02,3.521305933492139957e+02,3.623327211269092345e+02,3.536371477267383625e+02,3.642994781053119482e+02,3.596507010436230871e+02,6.177882420227707598e+02,6.296286211697006365e+02,6.245586206326478305e+02,6.183661379242599878e+02,6.146295329193283123e+02,6.150267472850755439e+02,2.960398994671371131e+00,1.387699309165640660e+00,-7.761796318334688305e-01,-8.497103967676917335e+00,-5.888926134515807931e+00,5.193299668947036096e+00
1.302460423739333351e+02,1.172592169138598166e+02,1.300247116186536118e+02,1.232855841446228595e+02,1.251359762013191812e+02,1.384867500130190479e+02,1.459987922202419384e+02,1.511104816101955919e+02,1.424103037790767416e+02,1.480093800730280122e+02,1.486414308451463455e+02,1.408464213431830103e+02,2.104538527635891114e+02,2.022277445114045236e+02,2.124813736858918958e+02,2.135567304997860560e+02,2.122082077643972582e+02,2.078438430700287824e+02,3.605529984884890382e+02,3.622472234819932737e+02,3.625477886612559359e+02,3.613961371200697386e+02,3.641625096418371754e+02,3.586082106693172591e+02,6.158323055123357790e+02,6.251700529845571737e+02,6.099507066715707424e+02,6.203546693450533667e+02,6.184987503417172547e+02,6.143483634575558199e+02,4.156707239841534118e+00,-2.596930559341439348e-01,-2.242926293388934678e+00,2.477842218310726707e+00,5.401252856223296206e+00,-9.733827588448466628e+00
1.251648900998422533e+02,1.303527909793261585e+02,1.268467636305655617e+02,1.312955166004715863e+02,1.278804397348794311e+02,1.285955867197972964e+02,1.424686969531078375e+02,1.589999743679363746e+02,1.488633016390581076e+02,1.387364762811383230e+02,1.477096255292090063e+02,1.436290856634296915e+02,2.013237329064843095e+02,2.174643873808576018e+02,2.011775521146991252e+02,1.978627303177797785e+02,2.010044229361108989e+02,2.076023917425771970e+02,3.641017183547650689e+02,3.589027928252777997e+02,3.704357224157490123e+02,3.548393764642920019e+02,3.614610269402818403e+02,3.613016702413385701e+02,6.155399554150478707e+02,6.156009828731046127e+02,6.288325529296737386e+02,6.209511024701348560e+02,6.200539610366469105e+02,6.155853549416430042e+02,5.578148483374423261e-01,-4.631084103104530669e+00,2.236451567526173356e+00,4.698497923382261021e+00,1.014498514549600827e+00,-2.480882808394625272e+00
1.310730182116120375e+02,1.166895924912845146e+02,1.313861094884981071e+02,1.264807678265027846e+02,1.363160897958098303e+02,1.342487091686225540e+02,1.535236208309540871e+02,1.513397431458070059e+02,1.505895455673734489e+02,1.371340749289095413e+02,1.560857944259786052e+02,1.366096651070593566e+02,2.120595960980511734e+02,2.143523902770252789e+02,2.096801991006266235e+02,2.205027360533261742e+02,2.005680005684360481e+02,2.069273777516405630e+02,3.544864572277312504e+02,3.665302510735600663e+02,3.613472415697971769e+02,3.552237857053487460e+02,3.685902885417360721e+02,3.656780867565229869e+02,6.116712185768914196e+02,6.164359554256976708e+02,6.183054046769534580e+02,6.175765377107511540e+02,6.301942195517463006e+02,6.263761120492411010e+02,-2.491148294314847966e+00,-3.996597245469728055e+00,-2.524964890048177146e+00,-4.878247096608958167e+00,-4.064321904044840394e+00,-5.294897403788054291e+00
1.227867119058259959e+02,1.283843096998464830e+02,1.350365159068217906e+02,1.239950733501158311e+02,1.279571850910173936e+02,1.284766065744826449e+02,1.521398603797065903e+02,1.480439436621512925e+02,1.538747289879891298e+02,1.366106908414921577e+02,1.570727737531483967e+02,1.446689695445428185e+02,2.119469159154954525e+02,2.152017245440517570e+02,2.023738605144919234e+02,2.165764905852513209e+02,2.146409636085312798e+02,2.114190652796593497e+02,3.516392604394565069e+02,3.662616023725782952e+02,3.675921318782332605e+02,3.677750489027335448e+02,3.579259302592937502e+02,3.632349928289103786e+02,6.198788253664381500e+02,6.239065355404052298e+02,6.230268947768236103e+02,6.190383817472531973e+02,6.062263053059645017e+02,6.100950562347578625e+02,1.259299199220421883e+00,-5.344224464613121839e+00,6.530242787119296288e+00,-4.051805109670597815e+00,2.758344483445655193e+00,-2.313543350369648977e+00
1.336037577804057435e+02,1.343043277769351675e+02,1.235059842556584044e+02,1.248745212760494496e+02,1.338079975923826908e+02,1.356622830040056158e+02,1.590014789005500688e+02,1.425295480778061972e+02,1.538279478377349676e+02,1.525111198457364878e+02,1.402224126247212723e+02,1.476310452132626096e+02,2.047932856115494076e+02,2.053449176631385740e+02,2.174879635996722982e+02,2.140902611378211304e+02,2.118777553907467848e+02,2.144520032230929303e+02,3.538083507353621826e+02,3.529841095409436775e+02,3.569936248761135289e+02,3.578428717813970934e+02,3.696362819022106692e+02,3.616292591931473339e+02,6.154514922886708064e+02,6.233294580869704760e+02,6.173880639875834504e+02,6.233193805986155667e+02,6.231372878547111895e+02,6.150956829553980469e+02,5.040002723654685823e+00,-3.065134445294085630e+00,-1.867021468686234975e+00,-1.513586980873105947e+00,2.294466526415087415e+00,-2.599473859153905497e+00
1.199118107580115549e+02,1.319700804204819065e+02,1.341671399329650569e+02,1.343432031585305708e+02,1.268812635565983271e+02,1.292814098575090043e+02,1.414502732769592797e+02,1.385415973017998681e+02,1.482208628579211620e+02,1.405470489403588772e+02,1.468218284258643109e+02,1.455015218357191031e+02,2.153279055804367772e+02,2.055709826555193160e+02,2.014114716908781020e+02,2.134855864679005890e+02,2.003688028920205397e+02,2.072942857383617365e+02,3.629842462573622015e+02,3.629081386972711698e+02,3.578534433000922945e+02,3.695609379496972906e+02,3.624263223681483623e+02,3.619079920898103069e+02,6.284905112889499605e+02,6.167918704583023555e+02,6.132251453989546235e+02,6.169181741153067833e+02,6.198151492450836031e+02,6.197934987666408233e+02,6.759859588114214723e+00,2.069896477490019482e+00,2.813135162225983699e+00,7.781006713849770051e+00,2.619080549339575015e+00,1.591121205900311253e+00
1.117410044109499836e+02,1.313721202069654055e+02,1.251108626562597124e+02,1.330117966206424569e+02,1.280670666013823791e+02,1.425774277083783659e+02,1.474331612570369998e+02,1.556432774312734750e+02,1.517740150554559477e+02,1.442490568360977932e+02,1.372034077645948003e+02,1.507571215968131924e+02,2.022080418047330284e+02,2.018983278542582127e+02,2.027693325415891366e+02,2.127092884438467024e+02,1.975952248995697573e+02,2.103222706533567532e+02,3.593692729777691284e+02,3.649671759250138621e+02,3.631539465168456218e+02,3.639112428198599787e+02,3.580002915583148138e+02,3.725675585071494993e+02,6.194174474392525553e+02,6.124638812983183698e+02,6.108416226419617487e+02,6.221231605082441547e+02,6.176082228825692937e+02,6.256591282945942112e+02,-1.169829383714344218e+01,-4.324086520156569691e+00,-1.995487652040040416e+00,-7.849633670580379530e+00,7.941526500809755973e+00,-9.101494135074719161e-01
1.273835140742075112e+02,1.340024120450173939e+02,1.265496261100396111e+02,1.232723482072469494e+02,1.350188624090300777e+02,1.280276243526003555e+02,1.543968364125590540e+02,1.492556522278086106e+02,1.370880331810853079e+02,1.560998363956848891e+02,1.400914579190954328e+02,1.459635468451780014e+02,2.112851708106749129e+02,2.217889053963270101e+02,1.989916907382431361e+02,2.086549848217109400e+02,2.187712209560927192e+02,2.022321031201683752e+02,3.720014409427628266e+02,3.584009408712630034e+02,3.582506343108856868e+02,3.604249639049197640e+02,3.626810957640305446e+02,3.588297837673200661e+02,6.300139425611317847e+02,6.241078654382740751e+02,6.183319913839122819e+02,6.182204514310060404e+02,6.235932407628878309e+02,6.155442884059001472e+02,2.361621695381881825e+00,-2.528292621599976808e+00,7.774126773002732804e+00,-3.086033907976600821e-01,1.813950519655534421e+01,1.401122805517086078e+01
1.326680346387458087e+02,1.382604111303206196e+02,1.232070447068034866e+02,1.294715314284768226e+02,1.243903204617761560e+02,1.182269982079272950e+02,1.449240422090221330e+02,1.488780543255338955e+02,1.471321161981768455e+02,1.441189992931760173e+02,1.537056198011709682e+02,1.392683839179131837e+02,2.049492951084862682e+02,2.087338331884490401e+02,2.110330303100478488e+02,1.991864722465393811e+02,2.132304839731845050e+02,2.097735487287472154e+02,3.617845698839623765e+02,3.511608223175564376e+02,3.634451663070413474e+02,3.583522200400422548e+02,3.452821188212614061e+02,3.663483146236019934e+02,6.257400857278755666e+02,6.178045996965676068e+02,6.152023102558639494e+02,6.194236423888721674e+02,6.103153759134678467e+02,6.125581545403763357e+02,5.861869621245308082e+00,-4.901635184861733663e+00,-5.842325795751325046e+00,5.078016444254917161e+00,-7.109793455958821617e+00,6.750607073051798857e+00
1.445630867162204822e+02,1.189197759851905403e+02,1.381229386387903730e+02,1.297782298111067121e+02,1.303265476450342817e+02,1.203959037477491165e+02,1.575831108899108699e+02,1.460310092365951391e+02,1.424743829298821538e+02,1.410326721704301463e+02,1.484598770753863732e+02,1.518509801207104317e+02,2.104328325290821908e+02,2.085869383379056785e+02,2.123083172471071407e+02,2.082861469368586995e+02,2.075741129279241761e+02,2.077215884810028399e+02,3.604203350606326808e+02,3.641832745152049142e+02,3.668640949004667391e+02,3.667492493331528749e+02,3.742368104258471817e+02,3.545328695961584913e+02,6.194638325144431974e+02,6.235630439639957103e+02,6.165399923263443043e+02,6.318592520437412077e+02,6.125598946916234127e+02,6.063926709719667087e+02,-1.736788858404074176e+01,-4.117136806147459360e+00,1.140530326745063938e+00,-7.074318047493243888e+00,8.023412799511703497e+00,1.211912104634758691e+01
1.385503369429478369e+02,1.271365377434210444e+02,1.441370258383416285e+02,1.310222717027279487e+02,1.431554568315267773e+02,1.186622911370000111e+02,1.504218357662451524e+02,1.513980067536073193e+02,1.554617138349327092e+02,1.445470113008462647e+02,1.472300535257763556e+02,1.599208003238290416e+02,2.034077448037729425e+02,2.074372951390749051e+02,2.071379805082605117e+02,2.053260575271895050e+02,1.963139069935550935e+02,2.055746288479051032e+02,3.690031369376379757e+02,3.679564315737947027e+02,3.486996765634135045e+02,3.561915955741666266e+02,3.732272997158421504e+02,3.624667249552427961e+02,6.198696809875132203e+02,6.180202288420413197e+02,6.175761249381470179e+02,6.173828138426769101e+02,6.179864432455362930e+02,6.208302648684539236e+02,2.560609681572731944e-01,5.428045239267245137e-01,-3.795383943830104023e+00,-4.197052638036756100e+00,1.175663624197659463e+00,1.801287721858516022e+01
1.303897307042719831e+02,1.212958980231298227e+02,1.410330057213067505e+02,1.231712464528030040e+02,1.350203568613150651e+02,1.350108900603363509e+02,1.482498172960782483e+02,1.414884127978928063e+02,1.462986653306683138e+02,1.445666253895474256e+02,1.501474214112877803e+02,1.427968789179221289e+02,2.165809627210233259e+02,2.069358800218333840e+02,1.984436041407445259e+02,2.020090513768999756e+02,2.058291571006463982e+02,2.078094515676279457e+02,3.596648962472193602e+02,3.693550837798461544e+02,3.669449981459367223e+02,3.569619923760448046e+02,3.652493819485039808e+02,3.612313158311706616e+02,6.262225279150243296e+02,6.114776553905638821e+02,6.136502440804025582e+02,6.266657933499983528e+02,6.150283240783741121e+02,6.160106227084318107e+02,-8.587909318427724870e+00,-1.162127354033978222e+01,-2.348020886946323049e+00,-4.629008655485634449e+00,8.139352894233010005e+00,6.212927131154264426e-01
1.367568179461638920e+02,1.269743012146170713e+02,1.312544887500854998e+02,1.329575124261975532e+02,1.322075534728168975e+02,1.324336065564502860e+02,1.408425448066601575e+02,1.447309856151150882e+02,1.535681832625364507e+02,1.498129490671708197e+02,1.460475532453428400e+02,1.463933346858737252e+02,2.147962549613717727e+02,2.070078344163018471e+02,2.071295225559545941e+02,2.090493455651030104e+02,2.143980987394952251e+02,2.099040016679782639e+02,3.636075983686199038e+02,3.535787895140758792e+02,3.650138366706545412e+02,3.576114514173822272e+02,3.577756314351383367e+02,3.501701664277206874e+02,6.245332365877848133e+02,6.085839930881497821e+02,6.115470787065042941e+02,6.158508092381885035e+02,6.190399737310779074e+02,6.257158421570692326e+02,4.237670896665497011e+00,1.535927371264580898e+00,-3.933977636644597986e+00,-3.916472552245604977e+00,-7.482369478952596964e+00,1.182737137592442700e+00
1.295582049662378097e+02,1.255044715091576535e+02,1.345315187340599152e+02,1.262452740756115048e+02,1.258749277932152069e+02,1.233739635522602640e+02,1.558549725550335836e+02,1.528745006517031868e+02,1.450369504596371826e+02,1.470640039808890549e+02,1.615692592402480159e+02,1.472209692757207620e+02,2.030284213789343539e+02,2.125219741602855947e+02,1.966557781665485152e+02,2.034547342225602051e+02,2.095915748469291771e+02,2.181897120633727241e+02,3.667124264402757490e+02,3.638793113600763718e+02,3.605765310714070893e+02,3.643127447316850862e+02,3.545615065384511695e+02,3.563260856133373409e+02,6.220301873269153248e+02,6.256879421174695608e+02,6.158294792944614073e+02,6.283041185954701859e+02,6.211252442792776947e+02,6.155744915113626803e+02,-8.473586101011738592e-01,-9.086779255133940580e+00,8.989556859526285137e+00,-5.174364975959866442e+00,3.572568839467129109e+00,7.135388801876599629e+00
