"Temperature (degC), TC1","Temperature (degC), TC2","Temperature (degC), TC3","Temperature (degC), TC4","Temperature (degC), TC5","Temperature (degC), TC6","Temperature (degC), TC7","Temperature (degC), TC8","Temperature (degC), TC9","Temperature (degC), TC10",V_coil_rms (V)
387.5616357,211.8312707,299.0904246,202.0003088,172.9926968,319.1434054,364.6830338,185.247503,262.2429689,193.0934062,79.58477661
454.628202,229.6056973,340.3843164,211.3591673,176.3815487,337.636281,397.5945552,192.0114389,283.1371129,199.7330989,79.24336124
410.79313,219.366862,314.6834222,210.4164167,176.2062157,342.4042571,387.2025981,189.370306,274.6323684,198.7432512,79.36701002
372.8405579,208.3416974,290.7683991,201.2538932,173.0574846,320.9984534,363.2573079,184.6687767,260.3735346,193.0359553,79.62648323
406.8992116,218.6124058,312.8153115,210.8960436,176.6221778,345.7903685,389.582331,189.6498583,275.4555685,199.4136882,79.36156224
402.8081841,215.8849365,309.089284,203.9572615,174.0920016,324.6458407,376.5255753,187.4186591,269.0651253,195.2642278,79.49386845
401.8127071,216.608586,309.254294,207.4911374,175.3962213,336.0614398,382.6750206,188.3923636,271.8012717,197.3572111,79.43265096
411.9751022,218.7019251,313.9856572,207.1659481,174.5589681,329.957436,376.5025561,187.6986466,269.7076208,195.9679501,79.44041157
409.5045483,218.1971585,313.4242768,206.957538,175.0389203,332.3167091,381.9175649,188.4480286,272.0899176,196.8721743,79.42771852
396.2406253,214.8638043,305.5218182,205.7291428,174.6692242,331.0582106,377.2182172,187.3965935,268.8001782,196.0591231,79.48222556
419.8603426,222.2034614,322.4891024,212.2043992,178.0947528,352.2696906,406.6663134,192.5500218,284.6459408,202.3299152,79.26302272
393.1558266,214.9518639,303.4589452,209.3781944,175.3833775,340.2115276,375.8516916,187.2338157,267.8529119,196.97336,79.45163328
410.7310616,218.6547028,315.0944037,207.1952,175.6759204,335.3786511,388.9155525,189.5387479,275.5332076,198.0896932,79.39886801
417.4805114,220.705215,319.2680128,209.2082832,176.2497397,339.838884,392.3961279,190.2690524,277.7191621,199.088168,79.35146329
423.2690724,223.2172457,323.5989349,213.7789548,177.9658473,353.3356786,402.252423,192.0248465,282.8001422,201.9769747,79.25339494
403.9783974,217.1928999,310.3438577,208.0241742,175.4520343,336.6870903,382.5472862,188.4440358,271.9052383,197.4445254,79.42351413
383.4305591,211.8534368,297.7299099,205.6106514,174.5461045,332.5386721,372.4700235,186.3969103,265.4901385,195.5857214,79.52365799
415.6182118,218.7920406,316.1468525,204.3037586,173.9326634,322.4403647,376.9588179,187.7944674,270.2997927,195.137728,79.46632854
380.6722459,210.1840199,294.9269165,201.7398233,172.8798473,319.4378963,362.1952211,184.7116419,260.5136655,192.7848863,79.60946129
382.2832578,211.5569084,297.4159234,205.2650318,174.6924785,332.9910238,374.6540334,186.6747915,266.4327185,195.8854285,79.52296669
446.0107521,229.1357321,336.4873189,216.398352,178.0341641,353.361795,403.1313969,192.785759,285.0001315,202.2464288,79.17743711
399.831245,216.7745826,310.2340061,208.9711461,177.1643137,346.8578688,398.3455982,190.7160809,279.036675,200.5193005,79.36783826
411.3485188,219.0798482,315.3242537,208.3512317,175.8101427,337.5821633,387.8946705,189.4257159,275.06688,198.2303154,79.38659227
401.1255207,215.5218175,307.3130556,204.3846275,173.6981567,323.6621209,370.5456169,186.492038,266.0528253,194.423334,79.51176169
398.4070268,215.4326792,305.8691808,206.5611097,174.3216803,330.1793918,371.8001544,186.6710695,266.3997951,195.340333,79.48811644
422.095109,221.7066734,321.775451,209.0209043,176.0530588,337.840057,391.7697271,190.288727,277.7915571,198.8089184,79.34650344
392.8073375,214.1310045,303.9713811,205.7470175,174.9939144,333.2562826,379.9329454,187.7164198,269.8031218,196.6198104,79.4799359
391.0284723,213.1615904,302.4030387,203.6509934,174.1631066,326.5293161,375.0728506,186.9048627,267.4162009,195.2286422,79.52452167
406.0158474,216.563667,312.7223195,202.8774996,174.7531125,325.5328003,388.1585676,189.2180179,274.9815949,196.7543978,79.46416006
407.0887347,216.7437521,312.3294705,203.1937973,174.3554394,324.0207462,382.765169,188.4616673,272.4515757,195.9787835,79.47633969
425.0743684,223.6008725,323.8699794,213.8588514,177.3829934,350.3146621,396.2162422,191.1595934,280.0590654,200.8836743,79.2694013
401.6573755,216.2270009,309.111304,206.0832108,175.0292301,332.3442449,381.8626599,188.2306081,271.4451002,196.8115769,79.45278985
